Bucket_ID,Cuke_ID,Length_cm,Weight_g,Weight_2,Dead_Weight,Pooping,Origin,
1,A,34.2,920,938,NA,,4D,
1,B,24.8,414,426,NA,,5D,
2,A,22.6,324,364,NA,,4D,
2,B,25.2,658,682,NA,,4D,
3,A,25.6,418,442,NA,,5D,
3,B,32.2,628,658,NA,,4D,
4,A,29.8,800,804,NA,,4D,
4,B,26.0,448,460,NA,,4D,
5,A,24.2,520,520,NA,,5D,
5,B,32.6,858,800,NA,,4D,
6,A,26.5,780,776,NA,,4D,
6,B,28.1,538,574,NA,,5D,
7,A,31.2,722,726,354,,5D,
7,B,25.8,406,408,NA,,4D,
8,A,26.0,406,428,NA,,5D,
8,B,21.2,198,200,NA,,4D,
9,A,27.6,568,576,NA,,4D,
9,B,27.8,808,812,NA,,5D,
10,A,34.0,630,620,458,,4D,
10,B,19.0,186,176,NA,,4D,
11,A,26.0,472,510,NA,,4D,
11,B,30.4,466,460,NA,,4D,
12,A,23.2,708,754,NA,,5D,
12,B,28.8,404,402,NA,,4D,
13,A,25.0,522,502,NA,,5D,
13,B,33.8,274,572,NA,,4D,
14,A,29.0,552,584,NA,,4D,
14,B,24.2,526,530,NA,,5D,
15,A,15.2,244,254,NA,,5D,
15,B,28.8,472,472,NA,,5D,
16,A,30.6,888,960,NA,,5D,
16,B,28.8,428,434,NA,,4D,
17,A,25.5,664,662,NA,,4D,
17,B,30.2,778,790,NA,,6D,
18,A,37.0,470,466,NA,,5D,Did not stiffen up - very limp when measured
18,B,21.8,408,406,NA,,6D,
19,A,31.4,864,824,NA,,5D,
19,B,27.0,600,610,NA,,4D,
20,A,29.0,666,668,NA,,4D,
20,B,32.6,874,920,NA,,5D,
21,A,28.4,400,390,NA,,6D,
21,B,22.2,526,544,NA,,6D,
22,A,31.0,550,538,NA,,6D,
22,B,30.2,616,574,NA,,6D,
23,A,22.6,310,316,NA,,6D,
23,B,21.2,390,396,NA,,6D,
24,A,22.6,430,506,NA,,6D,
24,B,22.0,296,260,NA,,6D,
25,A,32.8,846,846,NA,,6D,
25,B,26.2,298,292,NA,,6D,
26,A,30.1,816,812,NA,,6D,
26,B,30.4,612,612,NA,,6D,
27,A,30.2,558,596,NA,,6D,
28,A,22.2,522,518,NA,,6D,
29,A,34.3,954,962,NA,,6D,
30,A,25.8,368,402,NA,,6D,